year,region,population,births,deaths
2009,Mie,1823000,15614,17590
2009,Shiga,1378000,13151,11036
2009,Kyoto,2581000,21058,23191
2009,Osaka,8638000,75250,73135
2009,Hyogo,5503000,47592,48864
2009,Nara,1391000,10758,12139
2009,Wakayama,1000000,7516,11736
2009,Tottori,587000,4876,6636
2009,Shimane,715000,5601,8854
2009,Okayama,1924000,16387,18948
2009,Hiroshima,2831000,25596,26992
2009,Yamaguchi,1444000,11312,16995
2009,Tokushima,785000,5898,8719
2009,Kagawa,992000,8366,10639
2009,Ehime,1429000,11507,15670
2009,Kochi,764000,5415,9437
2009,Fukuoka,5014000,46084,44879
2009,Saga,849000,7518,8831
2009,Nagasaki,1424000,11838,15491
2009,Kumamoto,1806000,16221,18505
2009,Oita,1187000,9961,12528
2009,Miyazaki,1129000,10170,11959
2009,Kagoshima,1703000,14920,19498
2009,Okinawa,1375000,16744,9923
2010,Japan,126381728,1071305,1197014
2010,Hokkaido,5488092,40158,55404
2010,Aomori,1369629,9712,16030
2010,Iwate,1324924,9745,15756
2010,Miyagi,2335682,19126,21932
2010,Akita,1082603,6688,14288
2010,Yamagata,1162744,8651,14084
2010,Fukushima,2019618,16126,22747
2010,Ibaraki,2929085,23989,28615
2010,Tochigi,1980746,16473,19712
2010,Gunma,1972287,16023,20385
2010,Saitama,7104590,59437,55487
2010,Chiba,6135236,51633,50014
2010,Tokyo,12833956,108135,104238
2010,Kanagawa,8921252,78077,67760
2010,Niigata,2362420,18083,26618
2010,Toyama,1082108,8188,11875
2010,Ishikawa,1159897,9602,11607
2010,Fukui,795496,6874,8417
2010,Yamanashi,850546,6651,9268
2010,Nagano,2122509,17233,23133
2010,Gifu,2043467,16887,20220
2010,Shizuoka,3702776,31896,36420
2010,Aichi,7247125,69872,58477
2010,Mie,1821502,15262,18691
2010,Shiga,1388741,13363,11602
2010,Kyoto,2593340,21234,23714
2010,Osaka,8697550,75080,76556
2010,Hyogo,5507961,47834,51568
2010,Nara,1391395,10694,13036
2010,Wakayama,997305,7587,12049
2010,Tottori,585005,4790,6947
2010,Shimane,712516,5756,9109
2010,Okayama,1926378,16759,20248
2010,Hiroshima,2827820,25546,27561
2010,Yamaguchi,1439011,11551,17646
2010,Tokushima,781300,5904,9307
2010,Kagawa,988786,8397,11064
2010,Ehime,1423425,11427,16344
2010,Kochi,761239,5518,9769
2010,Fukuoka,5030961,46818,46996
2010,Saga,846146,7640,9212
2010,Nagasaki,1420166,12004,16303
2010,Kumamoto,1809626,16246,19219
2010,Oita,1187599,10072,12988
2010,Miyazaki,1131381,10217,12334
2010,Kagoshima,1700683,15124,20294
2010,Okinawa,1385104,17098,10156
2011,Japan,126180000,1050807,1253068
2011,Hokkaido,5467000,39292,56970
2011,Aomori,1360000,9532,16419
2011,Iwate,1309000,9310,22335
2011,Miyagi,2315000,18062,33975
2011,Akita,1072000,6658,14642
2011,Yamagata,1156000,8555,14880
2011,Fukushima,1981000,15072,26106
2011,Ibaraki,2919000,23219,29910
2011,Tochigi,1975000,15913,20469
2011,Gunma,1966000,15637,20930
2011,Saitama,7117000,58059,57670
2011,Chiba,6135000,50379,51689
2011,Tokyo,12869000,106027,105723
2011,Kanagawa,8934000,76000,70946
2011,Niigata,2351000,17667,27320
2011,Toyama,1077000,7823,12264
2011,Ishikawa,1157000,9555,11962
2011,Fukui,793000,6728,8757
2011,Yamanashi,846000,6412,9358
2011,Nagano,2115000,16917,23887
2011,Gifu,2037000,16851,21054
2011,Shizuoka,3694000,31172,37303
2011,Aichi,7262000,68973,59720
2011,Mie,1816000,15080,19271
2011,Shiga,1394000,13338,11884
2011,Kyoto,2590000,20707,24733
2011,Osaka,8699000,73919,78952
2011,Hyogo,5505000,47351,52259
2011,Nara,1387000,10400,13267
2011,Wakayama,990000,7460,12310
2011,Tottori,582000,4931,6958
2011,Shimane,708000,5582,9412
2011,Okayama,1922000,16635,20407
2011,Hiroshima,2824000,25469,28608
2011,Yamaguchi,1431000,11222,17884
2011,Tokushima,776000,5914,9435
2011,Kagawa,985000,8311,11316
2011,Ehime,1416000,11329,16950
2011,Kochi,755000,5244,9884
2011,Fukuoka,5038000,46220,48112
2011,Saga,843000,7613,9472
2011,Nagasaki,1411000,11727,16645
2011,Kumamoto,1805000,16118,20008
2011,Oita,1183000,9988,13806
2011,Miyazaki,1127000,10152,12980
2011,Kagoshima,1693000,15244,21047
2011,Okinawa,1393000,16918,10686
2012,Japan,125957000,1037232,1256359
2012,Hokkaido,5442000,38686,58066
2012,Aomori,1347000,9168,17294
2012,Iwate,1299000,9277,16072
2012,Miyagi,2315000,18707,22101
2012,Akita,1060000,6543,14856
2012,Yamagata,1146000,8212,14752
2012,Fukushima,1955000,13770,23418
2012,Ibaraki,2907000,22896,30009
2012,Tochigi,1968000,15973,20784
2012,Gunma,1959000,14914,21169
2012,Saitama,7126000,56943,59137
2012,Chiba,6119000,48881,53206
2012,Tokyo,12916000,107401,109194
2012,Kanagawa,8947000,75477,71996
2012,Niigata,2336000,17476,28083
2012,Toyama,1072000,7880,12754
2012,Ishikawa,1154000,9544,12223
2012,Fukui,789000,6712,8795
2012,Yamanashi,841000,6336,9555
2012,Nagano,2106000,16661,24474
2012,Gifu,2029000,16496,21531
2012,Shizuoka,3683000,30810,38194
2012,Aichi,7277000,67913,61354
2012,Mie,1811000,14729,19210
2012,Shiga,1396000,13236,12221
2012,Kyoto,2584000,20111,25416
2012,Osaka,8697000,73012,80472
2012,Hyogo,5496000,46436,53657
2012,Nara,1381000,10565,13656
2012,Wakayama,983000,7424,12435
2012,Tottori,578000,4771,7074
2012,Shimane,702000,5585,9513
2012,Okayama,1919000,16279,21181
2012,Hiroshima,2817000,24846,29273
2012,Yamaguchi,1420000,10797,18231
2012,Tokushima,772000,5744,9781
2012,Kagawa,982000,8161,11369
2012,Ehime,1408000,11130,17216
2012,Kochi,749000,5266,10142
2012,Fukuoka,5044000,45815,48957
2012,Saga,840000,7440,9676
2012,Nagasaki,1402000,11723,16784
2012,Kumamoto,1799000,15996,20565
2012,Oita,1178000,9650,14050
2012,Miyazaki,1122000,9858,13051
2012,Kagoshima,1684000,14841,21281
2012,Okinawa,1401000,17074,10626
2013,Japan,125704000,1029817,1268438
2013,Hokkaido,5412000,38190,59432
2013,Aomori,1333000,9126,17112
2013,Iwate,1290000,9231,15970
2013,Miyagi,2317000,18949,22214
2013,Akita,1047000,6177,14824
2013,Yamagata,1136000,8159,15029
2013,Fukushima,1939000,14546,23611
2013,Ibaraki,2894000,22358,30368
2013,Tochigi,1961000,15588,20591
2013,Gunma,1950000,14732,21661
2013,Saitama,7134000,57470,60264
2013,Chiba,6114000,48343,53603
2013,Tokyo,12979000,109986,110507
2013,Kanagawa,8956000,74320,72970
2013,Niigata,2319000,17066,28383
2013,Toyama,1065000,7722,12547
2013,Ishikawa,1150000,9449,12223
2013,Fukui,784000,6461,8764
2013,Yamanashi,836000,6198,9441
2013,Nagano,2095000,16326,24304
2013,Gifu,2018000,16000,21518
2013,Shizuoka,3668000,30260,38393
2013,Aichi,7289000,66825,62395
2013,Mie,1802000,14514,19690
2013,Shiga,1397000,13015,12233
2013,Kyoto,2576000,20106,25332
2013,Osaka,8690000,72054,81864
2013,Hyogo,5483000,45673,54366
2013,Nara,1374000,10190,14029
2013,Wakayama,975000,7122,12773
2013,Tottori,574000,4759,7270
